playerID,ballots,votes,inducted
moraljo01,444.0,0.0,N
judgejo01,251.0,2.0,N
traynpi01,262.0,3.0,N
hodgegi01,360.0,180.0,N
roushed01,234.0,24.0,N
greenha01,226.0,67.0,N
langebi01,264.0,1.0,N
baineha01,543.0,28.0,N
torrejo01,374.0,20.0,N
pinsova01,460.0,32.0,N
hoytwa01,251.0,33.0,N
schumha02,269.0,11.0,N
tobinji01,193.0,2.0,N
schalra01,262.0,45.0,N
meusebo01,234.0,1.0,N
bluegos01,269.0,3.0,N
applilu01,266.0,77.0,N
derripa01,266.0,15.0,N
haddiha01,365.0,8.0,N
kellge01,396.0,115.0,N
ruelmu01,252.0,5.0,N
groatdi01,379.0,3.0,N
fletcar01,201.0,2.0,N
piercbi02,380.0,4.0,N
myersra01,506.0,1.0,N
granted01,262.0,1.0,N
niekrph01,423.0,278.0,N
applilu01,201.0,189.0,Y
ruckena01,233.0,15.0,N
bottoji01,251.0,26.0,N
traynpi01,233.0,45.0,N
johnto01,473.0,129.0,N
planked01,247.0,33.0,N
clarkfr01,226.0,1.0,N
careyma01,234.0,36.0,N
maranra01,234.0,133.0,N
pascuca02,379.0,1.0,N
newcodo01,300.0,5.0,N
lawve01,383.0,5.0,N
colliji01,78.0,8.0,N
kerrdi01,201.0,1.0,N
marquru01,264.0,19.0,N
larsedo01,395.0,32.0,N
howelro02,444.0,0.0,N
jossad01,247.0,23.0,N
conceda01,472.0,56.0,N
willibi01,374.0,153.0,N
kluszte01,360.0,9.0,N
hargrbu01,269.0,1.0,N
schreos01,274.0,2.0,N
conceda01,460.0,43.0,N
bailobo01,443.0,0.0,N
palmera01,569.0,50.0,N
mondari01,444.0,2.0,N
meusebo01,251.0,2.0,N
milancl01,262.0,1.0,N
gossari01,520.0,336.0,N
shantbo01,365.0,3.0,N
killeha01,374.0,269.0,N
hermabi01,306.0,14.0,N
murrare01,262.0,1.0,N
wilsoha01,121.0,2.0,N
kinerra01,201.0,3.0,N
nichoki01,262.0,3.0,N
sainjo01,340.0,8.0,N
harribu01,269.0,31.0,N
shantbo01,300.0,7.0,N
brechha01,380.0,3.0,N
wilsoha01,234.0,21.0,N
billija01,425.0,1.0,N
gomezle01,193.0,89.0,N
reichri01,385.0,0.0,N
elberki01,247.0,2.0,N
henrito01,266.0,11.0,N
schumha02,193.0,2.0,N
oneilst01,168.0,1.0,N
bailebo01,403.0,1.0,N
lindsfr01,266.0,5.0,N
bluegos01,266.0,2.0,N
bowala01,443.0,11.0,N
howarel01,413.0,44.0,N
